名称,名称かな,所在地,設置位置,経度,緯度
城西中学校,じょうせいちゅうがっこう,愛媛県松山市竹原3丁目19-35,南校舎3階廊下×1、体育館×1、保健室×1,132.7482503,33.83459444
生石公民館,しょうせきこうみんかん,愛媛県松山市高岡町860-67,玄関ロビー×1,132.7131141,33.83082525
生石小学校,しょうせきしょうがっこう,愛媛県松山市高岡町630-3,職員室×1、体育館×1、保健室×1,132.7159334,33.8310933
生石第1児童クラブ,しょうせきだいいちじどうくらぶ,愛媛県松山市高岡町630-3,児童クラブ内×1,132.7166412,33.83197122
生石第5児童クラブ,しょうせきだいごじどうくらぶ,愛媛県松山市高岡町630-3,児童クラブ内×1,132.7159104,33.83161546
生石第4児童クラブ,しょうせきだいよんじどうくらぶ,愛媛県松山市高岡町630-3,児童クラブ内×1,132.7166315,33.83208623
生石保育園,しょうせきほいくえん,愛媛県松山市高岡町860-1,事務室×1,132.7127002,33.83081727
消防局3階警防課,しょうぼうきょくさんかいけいぼうか,愛媛県松山市本町6丁目6-1,イベント等貸出用×2,132.7584464,33.85245882
白百合保育園,しらゆりほいくえん,愛媛県松山市府中9-2,事務室×1,132.7695458,33.95324507
新開団地,しんがいだんち,愛媛県松山市北条辻807、957,団地集会所×1,132.7732898,33.96445138
水道管路管理センター,すいどうかんろかんりせんたー,愛媛県松山市保免中3丁目5-15,2階事務所内×1,132.7482569,33.81476746
青少年センター,せいしょうねんせんたー,愛媛県松山市築山町12-33,1階正面受付付近×1,132.7801836,33.83956083
素鵞公民館,そがこうみんかん,愛媛県松山市中村3丁目2-34,玄関×1,132.7775596,33.83147595
素鵞小学校,そがしょうがっこう,愛媛県松山市小坂1丁目4-48,職員室×1、体育館×1、保健室×1,132.7798701,33.83554716
素鵞第1児童クラブ,そがだいいちじどうくらぶ,愛媛県松山市小坂1丁目4-48,児童クラブ内×1,132.779838,33.83372688
素鵞第2児童クラブ,そがだいにじどうくらぶ,愛媛県松山市小坂1丁目4-48,児童クラブ内×1,132.779829,33.83480874
第一和泉団地,だいいちいずみだんち,愛媛県松山市和泉南5丁目12-1 外,団地集会所×1,132.7551207,33.81349504
太山寺団地,たいさんじだんち,愛媛県松山市太山寺町2384,団地集会所×2,132.7272143,33.89467959
太山寺保育園,たいさんじほいくえん,愛媛県松山市太山寺町1189-1,事務室×1,132.7289237,33.88587446
高岡団地,たかおかだんち,愛媛県松山市高岡町728-2,2棟1階エレベーター前×1,132.7198965,33.83453417
高木保育園,たかぎほいくえん,愛媛県松山市高木町252,玄関ロビー×1,132.7418189,33.88499284
高砂団地,たかさごだんち,愛媛県松山市高砂町3丁目3-2,団地集会所×1,132.7612293,33.85211447
高浜公民館,たかはまこうみんかん,愛媛県松山市梅津寺町1335-4,1階廊下階段横×1、玄関×1,132.7089152,33.87295821
高浜小学校,たかはましょうがっこう,愛媛県松山市梅津寺町1352-2,職員室×1、体育館×1、保健室×1,132.7083263,33.87593114
高浜中学校,たかはまちゅうがっこう,愛媛県松山市梅津寺町乙52,職員玄関×1、体育館1階外×1、保健室×1,132.7102876,33.87525966
高浜保育園,たかはまほいくえん,愛媛県松山市高浜町6丁目1674,玄関ロビー×1,132.7082181,33.89313661
拓川市民運動広場,たくせんしみんうんどうひろば,愛媛県松山市拓川町453-1,倉庫内×1,132.7653205,33.82623367
拓南中学校,たくなんちゅうがっこう,愛媛県松山市枝松5丁目4-39,職員室前×1、クラブハウス×1、保健室×1,132.7833872,33.82865586
竹原保育園,たけわらほいくえん,愛媛県松山市竹原3丁目18-12,事務室×1,132.7489607,33.83427241
たちばな小学校,たちばなしょうがっこう,愛媛県松山市針田町209-1,保健室×1、体育館×1、職員室×1,132.7340861,33.82406045
たちばな第1児童クラブ,たちばなだいいちじどうくらぶ,愛媛県松山市針田町209-1,児童クラブ内×1,132.7336413,33.82245171
たちばな第2児童クラブ,たちばなだいにじどうくらぶ,愛媛県松山市針田町209-1,児童クラブ内×1,132.7337543,33.8224703
立岩公民館,たていわこうみんかん,愛媛県松山市猿川甲747,玄関ロビー×1,132.8391436,33.97530783
立岩小学校,たていわしょうがっこう,愛媛県松山市猿川原甲49,職員玄関×1、体育館×1、保健室×1,132.8361903,33.97591854
たまのいし保育園,たまのいしほいくえん,愛媛県松山市勝山町1丁目10-2 第2えびすビル2F,玄関（靴箱の上）×1,132.7751025,33.83940703
チャイルド園,ちゃいるどえん,愛媛県松山市千舟町1丁目2-11,保育室×1,132.7726767,33.83687971
チャイルドハウス おれんじ,ちゃいるどはうすおれんじ,愛媛県松山市祝谷町1丁目6-23,事務室×1,132.7839626,33.85531335
ちゃれんじ KID'S CLUB,ちゃれんじきっずくらぶ,愛媛県松山市北土居3丁目7-3 三友ビル2F,事務室（玄関カウンター後ろ）×1,132.785579,33.8027856
中央児童センター,ちゅうおうじどうせんたー,愛媛県松山市若草町8-3,1階事務所内×1,132.7614247,33.84659815
中央消防署 城北支署,ちゅうおうしょうぼうしょじょうほくししょ,愛媛県松山市馬木町2227,1階事務所×1,132.7453539,33.8924662
中央消防署 北条支署,ちゅうおうしょうぼうしょほうじょうししょ,愛媛県松山市北条辻1170-6,1階食堂×1,132.7725119,33.96168805
津田中学校,つだちゅうがっこう,愛媛県松山市北斎院町1106,職員室×1、体育館×1、保健室×1,132.72227,33.83723994
椿小学校,つばきしょうがっこう,愛媛県松山市和泉南6丁目1-47,職員室×1、体育館×1、保健室×1,132.7604397,33.81146628
椿第1児童クラブ,つばきだいいちじどうくらぶ,愛媛県松山市古川北3丁目8-20,児童クラブ内×1,132.7647969,33.81084302
